municipio_nombre;2015;2016;2017;2018;2019;2020;2021
Acebeda (La);-;-;-;-;-;16452;18151
Ajalvir;15127;14815;15757;16348;17425;17244;17510
Alameda del Valle;16980;17898;18840;18695;19424;20658;22296
Alamo (El);10575;10751;11165;11611;12126;12444;13081
Alcalá de Henares;13492;13445;14488;15111;15738;15946;16741
Alcobendas;22844;23923;25100;27442;24950;24873;26065
Alcorcón;14193;14213;14837;15453;16002;16236;17004
Aldea del Fresno;10056;10380;10695;11208;11789;11911;12896
Algete;17145;17712;18256;19350;20156;20194;20975
Alpedrete;16057;16417;17069;17919;18552;18662;20139
Ambite;11192;10996;11364;12588;12803;12294;13209
Anchuelo;12348;12277;13058;13733;14138;14083;14384
Aranjuez;12629;12620;13185;13785;14379;14623;15406
Arganda del Rey;11599;11991;12586;13070;13735;13852;14564
Arroyomolinos;15277;15559;16128;16824;17678;17884;19226
Atazar (El);-;-;-;-;-;15934;17353
Batres;13679;14269;15094;15816;17463;16562;17916
Becerril de la Sierra;15436;15639;16387;16962;17446;18383;18670
Belmonte de Tajo;10736;11233;11484;12224;12405;12591;13875
Berrueco (El);12042;12406;13624;13759;14660;14744;15661
Berzosa del Lozoya;14878;15030;16601;18430;18755;19835;20221
Boadilla del Monte;25929;26185;27006;29726;29875;30142;31725
Boalo (El);15733;15956;16547;17591;18008;18462;19799
Braojos;12520;13386;13917;15000;15946;16419;18139
Brea de Tajo;9547;9900;10417;10984;11506;12260;12533
Brunete;13836;14041;14770;15346;16057;16258;17069
Buitrago del Lozoya;12220;12431;12771;13256;13773;14118;14646
Bustarviejo;13630;13680;14025;14723;15620;16284;17196
Cabanillas de la Sierra;16587;17639;17156;17099;18196;18190;18612
Cabrera (La);12540;12923;13419;13788;14795;15846;16162
Cadalso de los Vidrios;9231;8832;9436;10250;10828;11475;12183
Camarma de Esteruelas;12993;13162;14247;14780;15302;15658;16381
Campo Real;11564;12118;12253;13069;13674;13693;14569
Canencia;11377;10666;11434;11592;13436;14521;15515
Carabaña;10311;10039;11048;11441;11912;11695;12258
Casarrubuelos;11590;11906;12446;13158;13764;13804;14722
Cenicientos;8666;9066;9441;9882;10514;11090;11380
Cercedilla;14045;14108;14648;15419;15925;16606;17465
Cervera de Buitrago;13524;13781;14385;14418;15765;16222;18225
Chapinería;11671;11773;12690;12952;13758;14126;14881
Chinchón;10240;10275;11015;11604;12122;12613;13430
Ciempozuelos;11077;11431;11751;12281;12715;12811;13482
Cobeña;19170;19493;19658;20535;21347;21404;21865
Collado Mediano;16495;16527;17093;18023;19255;18106;19013
Collado Villalba;13102;13114;13709;14277;14980;15063;15854
Colmenar Viejo;16052;16297;16788;17631;18536;18667;19736
Colmenar de Oreja;9347;9554;10334;10867;11481;11601;12464
Colmenar del Arroyo;13530;13335;13696;14343;14975;15582;16324
Colmenarejo;14295;14335;14832;15498;16444;16396;17659
Corpa;12068;12582;11813;12468;12686;12552;13682
Coslada;13191;13378;14313;14919;15628;15632;16329
Cubas de la Sagra;12520;12770;12919;13712;14802;14715;16036
Daganzo de Arriba;15573;15777;16419;17082;18160;18116;19251
Escorial (El);15789;15858;16701;17251;17887;18028;19062
Estremera;8957;8991;10639;11110;11407;12023;12340
Fresnedillas de la Oliva;9491;10189;10505;11086;11808;12226;12802
Fresno de Torote;13530;13228;13831;14326;15193;15061;15946
Fuenlabrada;10934;11078;11757;12300;12995;13134;13896
Fuente el Saz de Jarama;13213;13860;14065;14154;14485;14387;15368
Fuentidueña de Tajo;9615;9826;10455;11437;11894;11854;12601
Galapagar;15547;15978;16246;17057;17702;17901;18792
Garganta de los Montes;15333;16658;16358;16338;17192;18830;18162
Gargantilla del Lozoya y Pinilla de Buitrago;14305;13910;15779;17067;17252;17737;18448
Gascones;14214;15095;13480;13661;16129;17252;18831
Getafe;13970;14101;14676;15500;16095;16449;17279
Griñón;14156;14580;15280;16021;17046;17135;18225
Guadalix de la Sierra;13045;12952;13785;14363;15080;15524;16169
Guadarrama;14491;15072;15219;15804;16467;16921;17778
Hiruela (La);-;-;-;-;-;16452;18151
Horcajo de la Sierra-Aoslos;15901;16097;16740;17263;18616;20408;19687
Horcajuelo de la Sierra;-;-;-;-;-;17250;16384
Hoyo de Manzanares;18767;19028;19029;20105;20324;20849;21774
Humanes de Madrid;10091;10360;10785;11371;11934;12043;12883
Leganés;12861;13194;13632;14171;14738;14917;15658
Loeches;12291;12602;13277;14028;14982;14772;15666
Lozoya;16713;15545;16207;15644;16363;18380;20370
Lozoyuela-Navas-Sieteiglesias;10738;10969;11242;11906;12388;13128;13796
Madarcos;-;-;-;-;-;16452;18151
Madrid;19172;19771;20161;21236;21638;21652;22587
Majadahonda;24627;24525;25508;26887;27586;27513;28750
Manzanares el Real;15405;15587;15851;16804;17711;18164;19037
Meco;13437;13591;14315;15120;15862;16263;17197
Mejorada del Campo;11106;11521;11906;12476;13094;13054;13783
Miraflores de la Sierra;14656;14068;14616;15289;16035;16855;17781
Molar (El);11546;11463;12122;12348;12874;12990;13852
Molinos (Los);15174;14856;16185;16673;18076;17228;17995
Montejo de la Sierra;11785;11941;12403;12832;13934;14641;16443
Moraleja de Enmedio;12219;12342;12918;13540;14478;14816;15749
Moralzarzal;16385;16666;17058;17834;18926;19177;20016
Morata de Tajuña;10426;10785;11234;11820;12182;12333;13144
Móstoles;12267;12516;12899;13432;14090;14200;14875
Navacerrada;16412;16694;17811;17981;18850;20054;21373
Navalafuente;12725;12838;13034;13589;14455;14715;15786
Navalagamella;10597;10587;11151;11863;12150;12472;12873
Navalcarnero;12413;12489;13070;13561;14208;14400;15208
Navarredonda y San Mamés;15917;17949;20247;19500;22160;20004;19307
Navas del Rey;10319;10391;10588;11326;12297;12343;13220
Nuevo Baztán;13269;13111;14043;14678;15533;15415;16246
Olmeda de las Fuentes;17428;16115;17172;17860;20941;18260;20822
Orusco de Tajuña;10495;10172;11141;11197;11580;11844;12414
Paracuellos de Jarama;19323;19607;20150;21133;22123;21877;22674
Parla;9809;9932;10418;10882;11280;11389;11965
Patones;16990;15832;16206;16903;16361;17179;17925
Pedrezuela;14731;14483;14959;15520;16203;16436;17299
Pelayos de la Presa;9404;9473;10105;10549;11151;11785;12083
Perales de Tajuña;10451;10738;11288;11725;12231;12291;12720
Pezuela de las Torres;11597;12345;12440;12965;13692;14411;14990
Pinilla del Valle;14536;15431;15053;14459;15356;17061;18071
Pinto;13594;13721;14389;14944;15708;15799;16615
Piñuécar-Gandullas;11857;12380;13116;13547;14175;14802;16194
Pozuelo de Alarcón;33239;35875;36098;39661;36436;36508;38361
Pozuelo del Rey;11993;11997;12670;13310;13214;13874;14620
Prádena del Rincón;14547;14952;16488;17425;17591;18137;23244
Puebla de la Sierra;-;-;-;-;-;16452;18151
Puentes Viejas;14608;14625;13859;15253;16123;16205;18055
Quijorna;12637;13025;13211;13794;14494;14331;15328
Rascafría;13680;14466;14841;15708;16175;16907;17789
Redueña;15611;14297;14879;16806;15929;18203;17150
Ribatejada;12544;13907;14375;13927;14770;14569;15688
Rivas-Vaciamadrid;16336;16847;17343;18144;19045;19308;20386
Robledillo de la Jara;-;-;-;-;-;16452;16683
Robledo de Chavela;13055;12792;13408;13996;14784;15693;15994
Robregordo;-;-;-;-;-;16452;18151
Rozas de Madrid (Las);24910;25426;25327;26449;27268;27247;28423
Rozas de Puerto Real;12343;12999;13821;13758;14015;14890;15304
San Agustín del Guadalix;18512;18835;19165;20833;20777;21151;22279
San Fernando de Henares;12820;13156;13744;14388;15051;15059;15814
San Lorenzo de El Escorial;15299;15361;15965;16722;17331;17553;18679
San Martín de Valdeiglesias;10286;10507;11015;11670;12067;12761;13497
San Martín de la Vega;10358;10532;11194;11799;12310;12488;13157
San Sebastián de los Reyes;17040;17358;17888;18965;19619;19817;20876
Santa María de la Alameda;11609;11730;11750;12624;12791;13276;13863
Santorcaz;11599;12035;13016;13393;14225;14497;15365
Santos de la Humosa (Los);12598;12731;12687;13100;13711;13881;14711
Serna del Monte (La);-;-;-;-;-;16452;13793
Serranillos del Valle;12839;13376;13650;14369;15380;15378;16352
Sevilla la Nueva;12933;13251;13890;14572;15328;15503;16632
Somosierra;-;-;-;-;-;16452;18151
Soto del Real;17282;17691;18390;19374;20092;20224;21683
Talamanca de Jarama;13610;13022;13515;13942;14914;14637;15304
Tielmes;10194;10436;11041;11427;11896;11844;12846
Titulcia;11390;11720;11963;12595;13082;13593;14327
Torrejón de Ardoz;12385;12335;13227;13813;14480;14534;15313
Torrejón de Velasco;11758;11877;12766;13037;14031;14601;15441
Torrejón de la Calzada;13218;13541;14003;14413;15537;15397;16226
Torrelaguna;11861;12173;12762;13416;14197;14371;14874
Torrelodones;23388;23942;25254;26996;27881;27826;29025
Torremocha de Jarama;15647;15448;15901;16382;17137;17639;18746
Torres de la Alameda;11337;11576;12214;12779;13492;13363;14264
Tres Cantos;23181;23144;23477;24491;25367;25612;26657
Valdaracete;10458;11790;11106;11693;12238;12060;13288
Valdeavero;12588;12891;13076;13278;14022;13767;14611
Valdelaguna;10664;10995;11193;12214;12582;13250;14135
Valdemanco;12865;12925;13350;14655;13894;15110;15957
Valdemaqueda;9406;9735;10830;11234;11802;11775;12574
Valdemorillo;15759;16279;16417;17045;17741;18294;19529
Valdemoro;13151;13353;13943;14550;15279;15441;16273
Valdeolmos-Alalpardo;16682;17145;17542;18776;18628;18870;19684
Valdepiélagos;11622;11679;12655;13102;13974;14314;15129
Valdetorres de Jarama;12834;13052;13623;14525;14952;15008;15690
Valdilecha;10134;10196;10872;11357;11867;11748;12793
Valverde de Alcalá;13477;13372;14594;14691;15279;16002;15812
Velilla de San Antonio;12920;13430;13873;14474;15091;15231;16122
Vellón (El);11513;11878;12413;13156;13662;13732;14292
Venturada;22187;22610;23203;24094;25559;24596;25782
Villa del Prado;10030;10251;10693;11283;11894;12461;12824
Villaconejos;8617;9312;9716;10275;10678;11163;11924
Villalbilla;16428;17062;17581;18374;19468;19531;20423
Villamanrique de Tajo;10247;10407;10325;11145;11907;12380;13143
Villamanta;10951;11074;11923;12393;12885;12884;13812
Villamantilla;12874;12849;13075;13787;14167;14989;15709
Villanueva de Perales;12761;12582;13311;13189;13584;14359;14553
Villanueva de la Cañada;20022;20903;21067;22389;23337;23040;24707
Villanueva del Pardillo;16737;17247;17814;18756;19665;19391;20885
Villar del Olmo;14262;14125;14659;15533;16359;16359;17221
Villarejo de Salvanés;10489;10926;11356;11849;12572;12709;13369
Villaviciosa de Odón;20656;21656;22376;22925;24553;23941;25368
Villavieja del Lozoya;13939;13837;14297;15568;17253;18025;17345
Zarzalejo;10655;10557;11002;11484;12312;12226;13121
