municipio_nombre,Centros Escolares Subindex,Contratos Subindex,Índice de Calidad del Empleo,Contratos por Tipo de Servicio Subindex,Unidades Productivas Subindex,Índice de Diversidad Económica,Índice de Igualdad Económica
Acebeda (La),,0.7061237373737373,,,1.0,,
Alameda del Valle,,0.7629419191919192,0.96,,0.6422764227642277,,
Atazar (El),,0.7296085858585858,,,0.6032159930465015,,
Berrueco (El),,0.7154040404040405,0.7,,0.5531473914845739,,0.56
Berzosa del Lozoya,,0.7637626262626264,0.94,,0.5866118614210217,,0.76
Braojos,,0.9,0.77,,0.7103768714506971,,
Brea de Tajo,,0.7597853535353536,0.56,,0.6542033817575614,,0.63
Buitrago del Lozoya,1.5015015015015014,0.6390782828282828,0.68,,0.6412861764258886,,0.54
Bustarviejo,0.5720823798627003,0.6943181818181818,0.75,,0.5601081562735248,,0.5
Cadalso de los Vidrios,0.533049040511727,0.6828914141414142,0.52,,0.5672739541160594,,0.55
Canencia,,0.7030934343434344,0.59,,0.6691729323308271,,
Cenicientos,0.9057971014492755,0.6801136363636364,0.5,,0.5858995833870206,,0.58
Cervera de Buitrago,,0.6857954545454545,0.74,,0.6142057176539936,,
Estremera,1.2690355329949237,0.6741792929292929,0.56,,0.6567139001349528,,0.56
Fresnedillas de la Oliva,,0.6624368686868687,0.56,,0.5340971085651937,,0.5
Fuentidueña de Tajo,0.7763975155279502,0.6362373737373737,0.58,,0.5593080566902556,,0.52
Garganta de los Montes,,0.8244949494949495,0.84,,0.642420341165111,,
Gargantilla del Lozoya y Pinilla de Buitrago,,0.7339015151515152,0.87,,0.6851520572450804,,0.56
Gascones,,0.7683712121212122,0.7,,0.7856410256410258,,
Hiruela (La),,0.7683712121212122,,,0.7649572649572651,,
Horcajo de la Sierra-Aoslos,,0.67114898989899,0.88,,0.7812663526949242,,
Horcajuelo de la Sierra,,0.7674873737373737,,,0.8084179970972425,,
Lozoya,5.434782608695652,0.6215909090909091,0.8,,0.6278490028490029,,
Lozoyuela-Navas-Sieteiglesias,,0.787878787878788,0.61,,0.6154159997489251,,0.53
Madarcos,,0.7438762626262626,,,0.7884615384615385,,
Montejo de la Sierra,,0.6844696969696971,0.65,,0.6162041915466573,,0.71
Navarredonda y San Mamés,,0.658459595959596,1.0,,0.7045177045177046,,
Patones,,0.6348484848484849,0.86,,0.6213290746162718,,0.61
Pelayos de la Presa,,0.7182449494949495,0.53,1.0,0.5485770991388969,1.0,0.52
Pinilla del Valle,,0.6000000000000001,0.74,,0.5585284280936456,,
Piñuécar-Gandullas,,0.6789141414141414,0.69,,0.5843454790823213,,
Prádena del Rincón,,0.8367424242424243,0.89,,0.7139761646803902,,
Puebla de la Sierra,,0.7578282828282829,,,0.7327935222672065,,
Puentes Viejas,,0.6914772727272728,0.78,,0.5554106910039114,,
Rascafría,1.6025641025641024,0.7362373737373737,0.8,,0.6880379334367066,,
Robledillo de la Jara,,0.6000000000000001,,,0.5278706800445931,,0.79
Robledo de Chavela,0.39370078740157477,0.6587752525252526,0.71,,0.5520422720276308,,0.52
Robregordo,,0.8254419191919193,,,0.5,,
Rozas de Puerto Real,5.6818181818181825,0.7100378787878787,0.7,,0.6251331203407882,,0.55
San Martín de Valdeiglesias,0.17433751743375173,0.6770202020202021,0.59,0.5,0.5698853290024115,0.5,0.52
Santa María de la Alameda,,0.6951388888888889,0.64,,0.6571493982208267,,
Serna del Monte (La),,0.6742424242424242,,,0.7884615384615385,,
Somosierra,,0.6679924242424242,,,0.7435897435897436,,1.0
Torremocha de Jarama,,0.6833964646464646,0.84,,0.6000542667209334,,0.6
Valdemanco,,0.7643308080808081,0.75,,0.5863895141003576,,
Valdemaqueda,,0.6595328282828282,0.57,,0.6268696581196582,,
Villa del Prado,0.20764119601328904,0.6551767676767677,0.57,,0.6033204474573739,,0.51
Villamanrique de Tajo,,0.632260101010101,0.57,,0.6617966320483484,,
Villavieja del Lozoya,,0.6664772727272728,0.8,,0.5431099115309641,,0.54
Zarzalejo,,0.6687500000000001,0.58,,0.5673046134141235,,0.52
